ship-state,Amount
MAHARASHTRA,13261933.9
KARNATAKA,10421496.02
TELANGANA,6880035.27
UTTAR PRADESH,6798644.08
TAMIL NADU,6477109.53
DELHI,4216456.97
KERALA,3798362.96
WEST BENGAL,3487951.01
ANDHRA PRADESH,3198443.86
HARYANA,2874244.99
Gujarat,2710744.72
RAJASTHAN,1710014.4
MADHYA PRADESH,1582583.12
BIHAR,1387961.32
ODISHA,1368220.63
PUNJAB,1176329.84
ASSAM,1015181.2
UTTARAKHAND,967812.55
JHARKHAND,915905.21
GOA,616687.85
CHHATTISGARH,565913.83
HIMACHAL PRADESH,500929.51
JAMMU & KASHMIR,456161.74
MANIPUR,207372.99
CHANDIGARH,201915.05
PUDUCHERRY,187821.24
ANDAMAN & NICOBAR,157424.62
NAGALAND,143430.67
SIKKIM,137390.66
MEGHALAYA,117520.9
ARUNACHAL PRADESH,94542.0
Delhi,94125.87
TRIPURA,92548.4
New Delhi,47109.95
DADRA AND NAGAR,42138.92
MIZORAM,41213.71
LADAKH,38388.43
Rajasthan,37252.76
Punjab,20850.0
Bihar,19793.0
delhi,16553.62
Goa,15781.0
Odisha,12429.76
Chandigarh,9054.62
punjab,8622.0
rajasthan,3946.0
LAKSHADWEEP,3175.29
Sikkim,2703.0
Manipur,2631.0
goa,2467.0
Arunachal Pradesh,1935.0
bihar,1432.0
Orissa,1140.0
Rajshthan,1126.0
RJ,1040.0
NL,961.0
Meghalaya,921.9100000000001
Mizoram,735.0
Nagaland,664.0
Arunachal pradesh,602.0
orissa,597.0
Puducherry,568.0
Punjab/Mohali/Zirakpur,568.0
Pondicherry,529.0
rajsthan,521.0
AR,493.0
Rajsthan,443.0
PB,399.0
