ship-state,Amount
MAHARASHTRA,13261933.9
KARNATAKA,10421496.02
TELANGANA,6880035.27
UTTAR PRADESH,6798644.08
TAMIL NADU,6477109.53
DELHI,4374246.41
KERLA,3798362.96
WEST BENGAL,3487951.01
ANDHRA PRADESH,3198443.86
HARYANA,2874244.99
GUJARAT,2710744.72
RAJASTHAN,1754343.16
MADHYA PRADESH,1582583.12
BIHAR,1409186.32
ODISHA,1382387.39
PUNJAB,1206768.84
ASSAM,1015181.2
UTTARAKHAND,967812.55
JHARKHAND,915905.21
GOA,634935.85
CHHATTISGARH,565913.83
HIMACHAL PRADESH,500929.51
JAMMU & KASHMIR,456161.74
CHANDIGARH,210969.67
MANIPUR,210003.99
PUDUCHERRY,188918.24
ANDAMAN & NICOBAR,157424.62
NAGALAND,145055.67
SIKKIM,140093.66
MEGHALAYA,118442.81
ARUNACHAL PRADESH,97572
TRIPURA,92548.4
DADRA AND NAGAR,42138.92
MIZORAM,41948.71
LADAKH,38388.43
LAKSHADWEEP,3175.29
