ship-state,Amount
MAHARASHTRA,13261933.9
KARNATAKA,10421496.02
TELANGANA,6880035.27
UTTAR PRADESH,6798644.08
TAMIL NADU,6477109.53
DELHI,4216456.97
KERALA,3798362.96
WEST BENGAL,3487951.01
ANDHRA PRADESH,3198443.86
HARYANA,2874244.99
GUJARAT,2710744.72
RAJASTHAN,1710014.4
MADHYA PRADESH,1582583.12
BIHAR,1387961.32
ODISHA,1368220.63
PUNJAB,1176329.84
ASSAM,1015181.2
UTTARAKHAND,967812.55
JHARKHAND,915905.21
GOA,616687.85
CHHATTISGARH,565913.83
HIMACHAL PRADESH,500929.51
JAMMU & KASHMIR,456161.74
MANIPUR,207372.99
CHANDIGARH,201915.05
PUDUCHERRY,187821.24
ANDAMAN & NICOBAR,157424.62
NAGALAND,143430.67
SIKKIM,137390.66
MEGHALAYA,117520.9
ARUNACHAL PRADESH,94542.0
DELHI,94125.87
TRIPURA,92548.4
DELHI,47109.95
DADRA AND NAGAR,42138.92
MIZORAM,41213.71
LADAKH,38388.43
RAJASTHAN,37252.76
PUNJAB,20850.0
BIHAR,19793.0
DELHI,16553.62
GOA,15781.0
ODISHA,12429.76
CHANDIGARH,9054.62
PUNJAB,8622.0
RAJASTHAN,3946.0
LAKSHADWEEP,3175.29
SIKKIM,2703.0
MANIPUR,2631.0
GOA,2467.0
ARUNACHAL PRADESH,1935.0
BIHAR,1432.0
ODISHA,1140.0
RAJASTHAN,1126.0
RAJASTHAN,1040.0
NAGALAND,961.0
MEGHALAYA,921.91
MIZORAM,735.0
NAGALAND,664.0
ARUNACHAL PRADESH,602.0
ODISHA,597.0
PUDUCHERRY,568.0
PUNJAB,568.0
PUDUCHERRY,529.0
RAJASTHAN,521.0
ARUNACHAL PRADESH,493.0
RAJASTHAN,443.0
PUNJAB,399.0
